Make ,Model,Trim,Year,Price,Mileage
Ford,F-150,Raptor,2022,110590,3001
Ford,F-150,Raptor,2022,108405,193
Ford,F-150,Raptor,2022,99997,470
Ford,F-150,Raptor,2022,99947,1615
Ford,F-150,Raptor,2022,97997,369
Ford,F-150,Raptor,2022,97399,614
Ford,F-150,Raptor,2022,95000,10029
Ford,F-150,Raptor,2022,93750,16171
Ford,F-150,Raptor,2022,90799,13184
Ford,F-150,Raptor,2021,98991,18598
Ford,F-150,Raptor,2021,98991,18598
Ford,F-150,Raptor,2021,94999,7175
Ford,F-150,Raptor,2021,92999,15111
Ford,F-150,Raptor,2021,89700,22000
Ford,F-150,Raptor,2021,87480,13865
Ford,F-150,Raptor,2021,90499,6013
Ford,F-150,Raptor,2020,108516,24256
Ford,F-150,Raptor,2020,93990,29111
Ford,F-150,Raptor,2020,82995,13324
Ford,F-150,Raptor,2020,76000,20959
Ford,F-150,Raptor,2020,72990,29448
Ford,F-150,Raptor,2020,70707,14801
Ford,F-150,Raptor,2020,70592,32888
Ford,F-150,Raptor,2020,69999,10863
Ford,F-150,Raptor,2020,69998,39771
Ford,F-150,Raptor,2020,69998,39771
Ford,F-150,Raptor,2020,69998,13790
Ford,F-150,Raptor,2020,69998,13790
Ford,F-150,Raptor,2020,68999,39252
Ford,F-150,Raptor,2020,68999,39252
Ford,F-150,Raptor,2020,68499,28357
Ford,F-150,Raptor,2020,67814,37096
Ford,F-150,Raptor,2020,67596,46921
Ford,F-150,Raptor,2020,60997,42393
Ford,F-150,Raptor,2019,69990,48161
Ford,F-150,Raptor,2019,69985,34089
Ford,F-150,Raptor,2019,68980,29750
Ford,F-150,Raptor,2019,68900,37419
Ford,F-150,Raptor,2019,68770,30663
Ford,F-150,Raptor,2019,68000,52000
Ford,F-150,Raptor,2019,67300,33890
Ford,F-150,Raptor,2019,66999,44450
Ford,F-150,Raptor,2019,66995,35531
Ford,F-150,Raptor,2019,66966,23050
Ford,F-150,Raptor,2019,66899,35640
Ford,F-150,Raptor,2019,66000,28648
Ford,F-150,Raptor,2019,66000,28648
Ford,F-150,Raptor,2019,65990,31731
Ford,F-150,Raptor,2019,65498,50378
Ford,F-150,Raptor,2019,64386,23363
Ford,F-150,Raptor,2019,64000,38001
Ford,F-150,Raptor,2019,63649,49226
Ford,F-150,Raptor,2019,62984,31430
Ford,F-150,Raptor,2019,61998,42000
Ford,F-150,Raptor,2019,61589,63361
Ford,F-150,Raptor,2019,61463,65722
Ford,F-150,Raptor,2019,61164,55022
Ford,F-150,Raptor,2019,59991,64941
Ford,F-150,Raptor,2019,58000,54515
Ford,F-150,Raptor,2019,58000,54515
Ford,F-150,Raptor,2019,54984,38822
Ford,F-150,Raptor,2019,52951,64711
Ford,F-150,Raptor,2018,87400,56000
Ford,F-150,Raptor,2018,82461,58990
Ford,F-150,Raptor,2018,70990,29969
Ford,F-150,Raptor,2018,67260,39898
Ford,F-150,Raptor,2018,63904,65900
Ford,F-150,Raptor,2018,63288,34434
Ford,F-150,Raptor,2018,62395,45796
Ford,F-150,Raptor,2018,60372,71383
Ford,F-150,Raptor,2018,59991,35438
Ford,F-150,Raptor,2018,59991,35438
Ford,F-150,Raptor,2018,59000,41686
Ford,F-150,Raptor,2018,58998,31245
Ford,F-150,Raptor,2018,58000,32891
Ford,F-150,Raptor,2018,57981,62696
Ford,F-150,Raptor,2018,56995,32811
Ford,F-150,Raptor,2018,56944,75304
Ford,F-150,Raptor,2018,56944,75304
Ford,F-150,Raptor,2018,56000,47567
Ford,F-150,Raptor,2018,55901,73961
Ford,F-150,Raptor,2018,55000,63503
Ford,F-150,Raptor,2018,54999,46632
Ford,F-150,Raptor,2018,54999,43632
Ford,F-150,Raptor,2018,54800,76778
Ford,F-150,Raptor,2018,54492,66917
Ford,F-150,Raptor,2018,53983,69883
Ford,F-150,Raptor,2018,53983,69883
Ford,F-150,Raptor,2018,52991,96984
Ford,F-150,Raptor,2018,52990,79399
Ford,F-150,Raptor,2018,52987,82274
Ford,F-150,Raptor,2018,52967,77524
Ford,F-150,Raptor,2018,49995,87428
Ford,F-150,Raptor,2018,49900,94000
Ford,F-150,Raptor,2018,42950,139146
Ford,F-150,Raptor,2017,64000,43000
Ford,F-150,Raptor,2017,56991,52338
Ford,F-150,Raptor,2017,56598,46381
Ford,F-150,Raptor,2017,54000,76232
Ford,F-150,Raptor,2017,53900,79214
Ford,F-150,Raptor,2017,52000,66000
Ford,F-150,Raptor,2017,51950,79815
Ford,F-150,Raptor,2017,50998,90110
Ford,F-150,Raptor,2017,47500,87619
Ford,F-150,Raptor,2017,47499,87555
Ford,F-150,Raptor,2017,46754,99475
Ford,F-150,Raptor,2017,46398,120606
